x greedy mesh original leiserson
0 1.17788 1.63080513538 2.23428900209 1.1837
1 0.785017 0.50653055667 1.74626182101 0.25416
2 1.27391 3.1938060735 1.53345231604 2.636
3 1.03712 4.25364076044 1.01938699706 0.91084
4 1.12201 2.4810852005 2.15254466562 1.182
5 0.202332 1.98522166302 2.13004906957 0.10028
6 1.12801 2.03133314131 1.81664512581 1.1317
7 0.564629 1.45273116117 1.48898927845 0.37135
8 0.789241 0.892936384925 1.91238933733 0.59002
9 2.10601 1.63914321832 1.86684219363 1.1122
10 1.65972 2.94643713516 2.94435175897 1.2028
11 2.11941 2.09867841783 2.55006398676 1.2681
12 1.77897 5.05658459455 2.35022821128 1.7797
13 2.25496 3.03714966241 3.18839387553 2.1604
14 0.897956 0.86301616072 1.88541427764 0.72274
15 3.07999 2.18128613463 2.66876900239 1.4004
16 10.006 1.88492199662 1.68677170646 2.4191
17 2.03328 6.92646236395 3.10396133474 1.8491
18 1.30392 2.4875662558 1.66419893197 1.3428
19 4.99759 7.72329440111 2.99484937846 1.225
20 9.58279 1.97545344416 3.04309211978 1.9672
21 5.54801 12.9264641495 1.68159451937 1.0476
22 0.532594 2.07634172226 1.35323418134 0.23063
23 0.656733 1.53944148699 1.04528431939 0.55711
24 1.05689 1.48757833964 1.66042634073 0.91347
25 1.24506 1.24276235738 1.72693255429 0.63816
26 1.77105 1.32791749345 1.80387026999 1.142
27 1.58841 4.57504143628 2.38496630446 1.2422
28 1.11391 0.548982725893 1.28064274541 0.30261
29 4.90699 1.17427712912 1.72690236076 1.0937
30 1.02503 2.37151959264 1.59439387114 0.91529
31 0.634345 0.640469606289 2.94974972028 0.44665
32 3.40311 4.33298332295 2.20147909718 1.2871
33 2.90106 2.20944395767 2.42394505916 1.5748
